capital_change,event_type,talent_value
10.0,lucky,0.5150295229802144
10.0,lucky,0.6466857879738467
10.0,lucky,0.47423400918219566
-5.0,unlucky,0.41654803051586975
-5.0,unlucky,0.7257039242348693
-5.0,unlucky,0.7102825816851016
-5.0,unlucky,0.5490988993577467
-5.0,unlucky,0.5909577296435249
-5.0,unlucky,0.3862652791750607
-5.0,unlucky,0.7471314137033332
-5.0,unlucky,0.7929188047595209
-5.0,unlucky,0.6625901990488554
-5.0,unlucky,0.7034428049266636
10.0,lucky,0.6054904880358961
10.0,lucky,0.5729261225476586
-5.0,unlucky,0.6644145576379148
-2.5,unlucky,0.41654803051586975
-5.0,unlucky,0.5748660847836345
-5.0,unlucky,0.667551106315344
-5.0,unlucky,0.8266312320241544
5.0,lucky,0.7257039242348693
10.0,lucky,0.8520268037038545
10.0,lucky,0.5704302008265013
10.0,lucky,0.65923668037005
-5.0,unlucky,0.6184866140404213
-5.0,unlucky,0.6713836767779474
-5.0,unlucky,0.6601749845223144
-5.0,unlucky,0.5248181418807136
-10.0,unlucky,0.6466857879738467
-10.0,unlucky,0.47423400918219566
-5.0,unlucky,0.5236946143968746
-2.5,unlucky,0.7471314137033332
-2.5,unlucky,0.7929188047595209
-5.0,unlucky,0.5606892418584912
10.0,lucky,0.8485314868663625
20.0,lucky,0.5704302008265013
10.0,lucky,0.4575391636881444
10.0,lucky,0.6411188642683668
-5.0,unlucky,0.631412877224479
-5.0,unlucky,0.6587613328904643
-5.0,unlucky,0.7454724966284296
-5.0,unlucky,0.6374105807688341
-5.0,unlucky,0.5802321183050977
-5.0,unlucky,0.7257039242348693
10.0,lucky,0.5433855133965997
5.0,lucky,0.6713836767779474
10.0,lucky,0.6585440837695061
10.0,lucky,0.42266083273996763
5.0,lucky,0.7454724966284296
-2.5,unlucky,0.6374105807688341
-5.0,unlucky,0.6299193671496478
-20.0,unlucky,0.5704302008265013
-5.0,unlucky,0.6025213556044619
10.0,lucky,0.6501588807062013
2.0,lucky,0.7471314137033332
2.0,lucky,0.7929188047595209
20.0,lucky,0.5150295229802144
-2.5,unlucky,0.5802321183050977
-1.0,unlucky,0.5802321183050977
-10.0,unlucky,0.5433855133965997
-5.0,unlucky,0.7744770652611116
-5.0,unlucky,0.6162757738961784
-2.5,unlucky,0.6025213556044619
-2.0,unlucky,0.7471314137033332
-2.0,unlucky,0.7929188047595209
-5.0,unlucky,0.5977738146335146
-5.0,unlucky,0.5519685497180618
5.0,lucky,0.7744770652611116
-5.0,unlucky,0.5433855133965997
-5.0,unlucky,0.5824646917264583
-5.0,unlucky,0.611115379506361
-2.5,unlucky,0.5748660847836345
-2.5,unlucky,0.5433855133965997
-2.5,unlucky,0.5236946143968746
-5.0,unlucky,0.6539973385908122
-5.0,unlucky,0.6046211343336884
-5.0,unlucky,0.5114738156629044
